department,communication,queueNumber
Graduate Office,Chat,81
Graduate Office,Chat,0
Graduate Office,Chat,1
Graduate Office,Chat,2
Graduate Office,Chat,3
Graduate Office,Chat,4
Graduate Office,Chat,5
Graduate Office,Chat,6
Graduate Office,Chat,7
Graduate Office,Chat,8
Graduate Office,Chat,9
Graduate Office,Chat,100
Graduate Office,Chat,200
Graduate Office,Chat,300
Graduate Office,Chat,400
Graduate Office,Chat,500
Graduate Office,Chat,600
Graduate Office,Chat,700
Graduate Office,Chat,800
Graduate Office,Chat,900
Graduate Office,Audio,0
Graduate Office,Audio,0
Graduate Office,Audio,1
Graduate Office,Audio,2
Graduate Office,Audio,3
Graduate Office,Audio,4
Graduate Office,Audio,5
Graduate Office,Audio,6
Graduate Office,Audio,7
Graduate Office,Audio,8
Graduate Office,Audio,9
Graduate Office,Audio,100
Graduate Office,Audio,200
Graduate Office,Audio,300
Graduate Office,Audio,400
Graduate Office,Audio,500
Graduate Office,Audio,600
Graduate Office,Audio,700
Graduate Office,Audio,800
Graduate Office,Audio,900
